Reaction,Pvalue,Padj,Reject,FC
R04747_x_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5003233332142034
R04743_x_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.25865402962910167
R02433_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.2762999410486918
TCP1_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2791255951771209
R01398_m_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.31533162541713944
R04515_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.48775214972395603
R02094_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3002072824656442
R04544_p_reverse,0.0002704973445409677,0.00039362027378030476,True,0.17663844198117815
TCM26,1.4508889103849681e-11,3.842730879806213e-11,True,0.2582636149886828
R06513_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5081914016673136
R04746_x,1.4508889103849681e-11,3.842730879806213e-11,True,0.48112419353547786
R01229_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.23647951244825197
R06035_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.45580777649877263
R04543_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5886588006025711
R03038_c,0.00396729438660086,0.005447499667501832,True,0.08279627420410302
R01104_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.24657043085787217
R04749_x,1.4508889103849681e-11,3.842730879806213e-11,True,0.44808407016755136
R00623_c_reverse,0.0335416594061465,0.043286178193864905,True,0.12104588424391484
R02413_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.8820088394764115
R00343_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.2966932252518268
R04958_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.46901098050415047
R01057_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.22755452375168742
R05968_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5067362943120701
R01056_p_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.33405444136342344
R02340_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.31425256617155967
TCM9,1.4508889103849681e-11,3.842730879806213e-11,True,0.2529927209398966
R00342_m_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.18297471590702463
R08193_c,0.001115801546231492,0.0015626158822224213,True,0.2235950906362897
R01512_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.2968975318958983
R07437_c,9.54696510144592e-06,1.4977023318996947e-05,True,0.13487826829098945
R05071_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.49248210938254083
R02327_c,0.00396729438660086,0.005447499667501832,True,-0.4188879055562991
R03778_x_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.29730524293253563
R02095_c,0.0335416594061465,0.043286178193864905,True,-0.2403190508057661
R04566_p_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.6193258769552645
R01248_c,0.001115801546231492,0.0015626158822224213,True,0.12707438284166508
R01867_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3097808548539009
R06556_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.42010133416779255
R02557_c,0.001115801546231492,0.0015626158822224213,True,0.1930187762437668
R01086_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.2136502840158219
R03217_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.24041201182381752
TCP7_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.28062777952527485
R01626_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.36880341011369305
R04724_p_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.6248767098354968
R01715_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3791254709123203
R02570N_m_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.2559107509183333
R01567_c,0.0335416594061465,0.043286178193864905,True,0.04548039692223249
R02484_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.26383334978268363
R02740_p_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.16000617919850194
R04591_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.6494934161246634
R01943_c,0.0002704973445409677,0.00039362027378030476,True,0.4472547809993831
R03026_x_reverse,0.012298612583953778,0.016458819800513197,True,0.060651810765458426
R01214_c_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.2810562338908032
R02018_c,0.012298612583953778,0.016458819800513197,True,0.3862433862433863
R00502_c_reverse,9.54696510144592e-06,1.4977023318996947e-05,True,0.2279281535148776
Ex2,5.803555641539872e-10,1.2044756462605702e-09,True,0.18929398283869422
R00768_c_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.22918066336344947
TCX16,1.4508889103849681e-11,3.842730879806213e-11,True,0.30561296168063995
R01051_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3804480029514931
TCX1_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.1399296026152183
R01518_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3594188766332747
R00848_c,1.4334782434603487e-07,2.459056173740923e-07,True,0.621218975718695
R02568_c_reverse,1.4334782434603487e-07,2.459056173740923e-07,True,0.18312985523900216
TCP7,1.4508889103849681e-11,3.842730879806213e-11,True,0.24154567759388917
R00185_c,1.4334782434603487e-07,2.459056173740923e-07,True,-0.29611125253800186
R01626_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.36865082733872295
R01056_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3774835424094834
R04534_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5610931566074341
R01529_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.27199636343503925
R01602_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.3788968820070444
TCP8_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.286051305476056
R01547_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.41466379292415934
R03443_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.30776035096799514
R04568_c_reverse,0.00396729438660086,0.005447499667501832,True,0.16981812651068198
R01057_c,9.54696510144592e-06,1.4977023318996947e-05,True,0.33007031822742644
R00342_c,1.4334782434603487e-07,2.459056173740923e-07,True,0.19928323856236838
TCP10,1.4508889103849681e-11,3.842730879806213e-11,True,0.25557030196326674
R06267_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.5266284037184791
R02957_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.16550199322734385
R01602_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3023769088887087
R01724_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.3208198813748768
TCP8,1.4508889103849681e-11,3.842730879806213e-11,True,0.24391735084218463
R02110_p,0.00396729438660086,0.005447499667501832,True,-0.37051121077180077
R06513_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.5162143862926174
R04440_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.45266042707142035
R03991_x_reverse,5.803555641539872e-10,1.2044756462605702e-09,True,0.3651438956901077
R03217_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3669801553464199
R01714_c,0.00396729438660086,0.005447499667501832,True,0.27196570568408646
RN04_m,5.803555641539872e-10,1.2044756462605702e-09,True,0.19493387727736314
R01222_c,5.569062975843453e-05,8.42345726095318e-05,True,0.3335796775314151
R00369_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.21055867414226176
R04137_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.38475734717753857
R01415_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.28587387752395105
R02235_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.27334708239530253
TCM3,1.4508889103849681e-11,3.842730879806213e-11,True,0.30665793373715716
TCM17,1.4508889103849681e-11,3.842730879806213e-11,True,0.329138666797669
R02749_c,0.012298612583953778,0.016458819800513197,True,0.12292872917278795
R06086_c,1.4508889103849681e-11,3.842730879806213e-11,True,0.47090062980045905
R01398_p,1.4508889103849681e-11,3.842730879806213e-11,True,0.25379599724884516
R02722_c,1.3259673752008224e-06,2.166031867102247e-06,True,0.14865309336306065
R02735_c_reverse,1.3259673752008224e-06,2.166031867102247e-06,True,0.15931254833232447
R03858_x,1.1316933501002751e-08,2.0824473564345178e-08,True,0.2963114704523918
TCP1,1.4508889103849681e-11,3.842730879806213e-11,True,0.30059068493810026
R01360_c,5.803555641539872e-10,1.2044756462605702e-09,True,0.23712839399289756
R00573_c,0.0335416594061465,0.043286178193864905,True,0.3971752229601225
Ex5_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.48562041516183985
R00267_m_reverse,1.1316933501002751e-08,2.0824473564345178e-08,True,0.1851287346256051
R01021_c_reverse,1.4508889103849681e-11,3.842730879806213e-11,True,0.3230160979167846
Bc29,0.0335416594061465,0.043286178193864905,True,-0.13387932475346817
R00335_c,0.0335416594061465,0.043286178193864905,True,-0.2228316984741561
R01941_c,1.1316933501002751e-08,2.0824473564345178e-08,True,0.250248404598669
R00415_c_reverse,5.569062975843453e-05,8.42345726095318e-05,True,0.19869880825719333
